UniqueCount	AmbigCount
2	0
0	0
1	0
5	0
11	0
2	0
1	0
1	0
11	0
3	0
0	0
4	0
8	0
1	0
0	0
1	0
1	0
0	0
1	0
0	0
2	0
3	0
3	0
2	0
4	0
0	0
5	0
1	0
16	0
2	0
2	0
10	0
9	0
0	0
1	0
1	0
4	0
6	0
0	0
0	0
2	0
1	0
5	0
1	0
1	0
0	0
14	0
3	0
3	4
4	0
0	0
6	0
2	0
2	0
1	0
1	0
1	0
0	0
1	0
0	0
3	0
2	0
6	0
0	0
5	0
0	0
6	0
0	0
3	0
1	0
34	0
0	0
4	0
2	0
3	0
3	0
1	0
6	0
1	0
1	0
2	0
0	0
17	0
4	0
2	0
24	0
3	0
2	0
0	0
0	0
1	0
1	0
0	0
1	0
4	0
15	0
11	0
1	0
9	0
8	0
3	0
4	0
3	0
1	0
3	0
2	0
7	0
4	0
6	0
2	0
7	0
1	0
12	0
3	0
15	0
4	0
15	0
5	0
6	0
2	0
5	0
3	0
2	0
6	0
63	0
1	0
0	0
1	0
26	0
0	0
12	0
1	0
0	0
0	0
9	0
1	0
6	0
3	0
0	0
1	0
0	0
0	0
29	0
1	0
2	0
4	0
2	0
3	0
11	0
12	0
5	0
9	0
1	0
1	0
1	0
6	0
9	0
6	0
1	0
2	0
1	0
0	0
9	0
2	0
1	0
8	0
1	0
9	0
2	0
0	0
7	0
31	1
4	0
3	0
0	0
3	0
18	0
0	0
3	0
4	0
4	0
12	0
11	0
10	0
2	0
1	0
18	0
4	0
0	0
0	0
1	0
1	0
18	0
0	0
3	0
1	0
1	0
4	0
3	0
9	0
8	0
3	0
4	0
0	0
0	0
2	0
1	0
5	0
1	0
8	0
0	0
0	0
3	0
0	0
9	0
4	0
0	0
6	0
6	2
3	0
1	0
2	0
3	0
3	0
7	0
12	0
4	0
4	0
2	0
4	0
6	0
4	0
0	0
18	0
3	0
0	0
1	0
0	0
2	0
1	0
5	0
0	0
47	0
3	0
0	0
7	2
7	0
5	0
0	0
0	0
0	0
6	0
16	0
5	0
4	0
5	0
0	0
1	0
3	0
0	0
10	0
4	0
2	0
2	0
8	0
2	0
6	0
3	0
0	0
5	0
3	0
0	0
13	0
0	0
16	0
6	0
0	0
3	0
1	0
2	0
4	0
4	0
2	0
4	0
0	0
7	0
1	0
1	0
1	0
4	0
3	0
5	0
1	0
3	0
13	0
3	0
5	0
7	0
1	0
5	0
4	0
2	0
0	0
30	0
7	0
22	0
10	0
8	0
13	0
6	0
31	0
36	1
46	0
28	0
8	0
8	0
21	0
17	0
4	0
11	0
8	0
88	0
73	0
262	3
187	1
101	0
136	0
177	0
44	0
9	0
4	0
8	0
12	0
6	0
6	0
8	0
12	0
1	0
10	0
15	0
5	0
42	0
26	0
12	0
2	0
4	0
4	0
18	0
17	0
3	0
2	0
9	0
6	0
3	0
6	0
10	0
0	0
22	0
8	0
3	0
37	0
9	0
23	0
7	0
10	0
16	0
23	0
11	0
13	0
7	0
6	0
6	0
10	0
0	0
5	0
11	0
2	0
0	0
15	0
7	0
3	0
5	0
28	0
16	0
3	0
3	0
4	0
4	0
0	0
0	0
5	0
3	0
3	0
1	0
10	0
7	0
4	0
6	0
87	0
29	0
44	0
33	0
81	0
182	0
49	0
27	0
43	0
12	0
23	0
32	0
23	0
24	0
63	0
27	0
37	0
49	0
50	2
102	2
45	0
35	0
43	0
36	0
39	0
15	0
39	0
25	0
68	0
40	0
26	0
13	0
21	2
7	2
0	0
0	0
3	0
3	0
3	0
1	0
5	0
6	0
0	0
0	0
1	0
3	0
50	0
12	0
2	0
5	0
5	0
4	0
3	0
4	0
6	0
0	0
4	0
1	0
0	0
0	0
4	0
0	0
14	0
2	0
4	0
70	79
0	0
0	0
0	0
1	0
10	79
2	0
0	0
160	0
125	0
235	3
110	0
160	0
15	116
131	0
219	0
364	0
192	0
94	0
79	1
90	0
148	0
136	0
164	0
194	0
118	0
153	0
384	0
80	1
250	0
202	0
98	0
111	0
68	0
101	0
129	0
244	0
124	0
162	0
137	0
163	0
238	0
75	0
144	0
25	0
2	0
4	0
0	0
1	0
13	0
0	0
0	0
7	0
0	1
7	1
0	0
1	0
0	0
7	0
5	0
4	0
0	0
17	0
0	0
0	0
3	0
1	0
4	0
7	0
5	0
10	0
2	0
1	0
4	0
1	0
0	0
1	0
6	0
0	0
0	0
3	0
5	0
4	0
1	0
27	0
0	0
2	0
20	0
0	0
5	0
9	0
2	0
7	0
6	0
2	0
4	0
2	0
0	0
4	0
3	0
3	0
1	0
0	0
4	0
0	0
0	0
0	0
0	0
3	0
0	0
1	0
2	0
0	0
7	0
8	0
0	0
0	0
16	0
1	0
1	0
1	0
1	0
0	0
0	0
0	0
5	0
11	0
40	0
0	0
0	0
2	0
2	0
0	0
0	0
2	0
5	0
2	0
0	0
6	0
19	0
1	0
0	0
11	0
3	0
6	0
0	4
3	4
15	0
0	0
3	0
1	0
5	0
0	0
3	0
1	0
0	0
5	0
5	0
6	0
8	0
1	0
0	0
0	0
2	0
9	0
1	0
4	0
0	0
12	0
1	0
15	0
4	0
0	0
25	0
11	0
2	1
0	0
7	0
266	0
4	0
10	0
2	0
0	0
1	0
1	0
0	0
7	0
2	0
3	0
7	0
1	0
8	0
5	0
2	0
1	0
12	0
5	0
0	0
10	0
6	0
0	0
1	0
13	0
1	0
6	0
1	0
0	0
0	0
2	0
16	0
3	0
3	0
2	0
8	0
19	0
3	0
0	0
0	0
5	0
1	8
1	0
4	0
0	0
1	0
2	0
2	0
0	0
47	0
49	0
54	0
38	0
4	0
1	0
1	0
1	0
2	0
2	0
1	0
0	0
1	0
2	0
15	0
0	0
1	0
5	0
0	0
0	0
3	0
0	0
1	0
1	0
4	0
9	0
0	0
2	0
0	0
2	0
2	0
2	0
1	0
0	0
0	0
5	0
0	0
0	0
1	0
9	0
5	0
1	0
0	0
2	0
0	0
0	1
0	0
2	0
0	0
11	0
0	0
0	0
3	0
3	0
1	0
1	0
12	0
3	0
3	0
3	0
2	0
5	0
0	0
1	0
2	0
2	0
0	0
0	0
0	0
68	0
0	0
1	0
2	0
0	0
3	0
2	0
0	0
9	0
2	0
0	0
2	0
2	0
6	0
2	0
8	0
3	0
4	0
0	0
1	0
1	0
1	0
0	0
0	0
1	0
0	0
1	0
4	0
3	0
0	0
5	0
1	0
0	0
0	0
1	0
0	0
15	1
0	0
1	0
1	0
12	0
5	0
0	0
0	0
3	0
1	0
0	0
1	0
1	0
0	0
11	0
23	0
17	0
14	0
44	0
29	0
36	0
30	0
33	0
33	0
42	0
28	0
7	0
1	0
3	0
49	0
27	0
43	0
20	0
10	0
2	0
17	0
5	0
21	0
3	0
1	0
2	0
3	0
4	0
3	2
2	0
1	0
2	0
25	0
20	0
39	0
14	0
22	0
20	0
34	0
37	1
21	0
21	0
20	0
31	0
18	0
15	0
28	0
27	0
22	1
14	0
43	0
32	0
49	0
9	0
25	0
19	0
17	0
12	0
23	1
9	0
2	0
11	0
5	0
13	0
10	0
8	0
3	0
5	0
16	0
2	0
7	0
3	0
6	0
16	0
38	0
2	0
11	0
45	0
13	0
11	0
17	0
0	0
11	0
2	0
8	1
8	0
11	0
8	0
8	0
14	0
9	0
21	0
14	0
5	0
1	0
2	0
5	0
1	0
1	0
0	0
1	0
7	0
1	0
13	1
10	0
10	0
0	0
7	0
4	0
9	0
12	0
6	4
15	0
32	0
0	0
4	0
3	0
9	6
45	8
10	0
8	0
4	0
10	1
2	0
3	0
11	0
10	2
12	11
3	2
6	0
15	0
7	1
14	5
13	0
1	0
4	0
0	0
1	0
0	0
0	0
0	0
0	0
1	0
2	0
2	0
0	0
1	0
0	6
2	6
0	0
0	0
1	0
1	0
0	0
1	0
2	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
1	0
4	0
0	0
0	0
2	0
0	0
0	0
0	0
71	0
16	0
65	0
8	0
27	0
8	0
10	0
10	0
36	0
8	1
1	0
4	0
8	0
3	0
14	0
23	0
1	0
31	0
34	0
2	0
3	0
7	0
14	0
1	0
26	1
21	0
7	0
5	0
3	0
1	0
7	0
8	0
1	0
0	0
2	0
12	0
5	0
29	0
0	0
1	0
31	0
2	0
5	0
3	0
12	0
5	0
30	0
15	0
35	0
36	0
11	0
16	1
26	0
37	0
21	0
29	0
15	0
22	0
30	0
49	0
21	0
18	0
22	0
31	0
11	1
10	1
10	0
20	0
13	0
31	0
16	0
14	0
17	0
8	0
28	0
13	0
13	0
15	0
9	0
35	0
21	0
11	0
6	0
4	0
1	0
4	0
3	0
1	0
1	0
0	0
4	0
8	0
1	0
0	0
1	0
1	0
4	0
6	0
0	0
13	0
8	0
1	0
0	0
2	0
1	0
0	0
0	0
2	0
2	0
0	0
7	0
1	0
1	0
3	0
13	0
1	0
2	0
1	0
2	0
2	0
5	0
6	0
1	0
1	0
2	0
0	0
0	0
0	0
2	0
15	0
23	0
22	0
14	0
10	0
10	0
23	0
17	0
4	0
8	0
22	0
6	0
8	0
9	0
36	0
25	0
25	0
27	0
58	0
17	0
52	0
85	0
96	0
32	0
46	0
47	0
37	0
55	0
23	0
48	0
19	0
75	0
36	0
43	0
60	0
31	0
36	0
21	0
49	0
40	0
62	0
39	0
94	0
47	0
60	1
62	1
44	0
64	0
48	0
51	0
100	0
30	0
28	0
38	0
45	0
57	0
57	0
37	0
52	0
103	0
66	0
53	1
23	1
66	0
46	0
12	0
36	0
75	0
47	0
31	0
91	0
68	0
88	0
58	0
74	0
94	0
40	0
39	0
48	0
28	0
100	0
61	0
138	0
46	0
36	0
24	0
20	0
10	0
12	0
41	0
35	0
33	0
20	0
0	0
3	0
0	0
1	0
2	0
5	0
0	0
5	0
0	0
0	0
0	0
1	0
1	0
0	0
11	0
3	0
1	0
11	0
14	0
3	0
0	0
5	0
0	0
4	0
2	0
4	0
3	0
12	0
1	0
1	0
2	0
2	0
4	0
0	0
1	0
4	0
3	0
3	0
5	0
8	0
0	0
1	0
0	0
2	0
1	0
3	0
3	1
1	0
0	0
1	1
0	1
0	0
5	0
3	0
19	2
4	0
0	0
1	0
0	0
2	0
3	0
0	0
1	0
0	0
1	0
1	0
2	0
2	1
5	0
1	0
2	0
6	0
1	0
0	0
0	1
5	0
4	0
0	0
1	0
12	0
14	0
7	0
7	4
1	0
0	0
1	0
15	0
7	0
0	0
4	0
1	0
4	0
1	0
0	0
1	0
8	0
0	0
41	0
38	0
17	0
25	0
25	0
24	0
34	0
23	0
18	0
27	0
22	0
30	0
9	0
25	0
21	0
23	0
23	0
23	0
22	0
50	0
33	0
29	0
12	0
25	0
26	0
37	0
22	0
16	0
16	0
10	0
13	0
35	0
28	0
6	0
15	0
1	0
2	0
1	0
1	0
4	0
7	1
0	0
3	0
2	0
4	0
2	0
0	0
11	0
0	0
1	0
4	0
1	0
14	0
0	0
6	0
1	0
0	0
0	1
3	0
2	0
62	0
69	0
80	0
43	0
38	0
40	0
37	0
51	0
32	0
110	0
65	0
82	0
53	0
44	0
18	0
29	0
40	0
71	0
73	0
49	0
25	0
78	0
36	0
50	0
82	0
44	0
34	0
24	0
48	0
53	0
37	0
27	0
46	0
51	0
64	0
72	0
22	0
3	0
2	0
0	0
0	0
3	0
26	1
21	1
6	0
23	0
0	0
0	0
79	1
5	0
0	0
1	0
11	0
59	0
0	0
30	0
0	0
44	0
5	0
12	0
10	0
0	0
18	0
1	0
6	0
22	0
6	0
1	1
15	0
2	0
17	0
8	0
1	0
4	0
6	0
6	0
0	0
27	0
3	0
0	0
4	0
3	0
1	0
49	0
7	0
17	0
0	0
26	0
16	0
11	0
2	0
2	0
9	0
0	0
4	0
7	0
23	0
36	0
85	0
77	0
4	0
17	0
8	0
1	0
1	0
6	0
19	0
1	0
0	0
3	2
6	2
13	0
0	0
0	0
34	0
7	0
3	0
23	0
69	1
1	0
0	0
2	1
0	0
0	0
0	0
1	0
1	0
47	0
1	0
14	0
0	0
1	0
26	0
3	0
0	0
15	0
11	0
9	0
272	0
34	0
15	2
7	0
31	0
5	0
4	0
1	0
3	0
15	0
29	0
1	0
0	0
5	0
4	0
0	0
1	0
58	0
35	0
9	0
1	0
2	0
4	0
1	0
0	0
0	0
17	0
0	0
4	0
4	0
0	0
2	0
2	0
4	0
4	0
7	0
6	0
7	0
29	0
0	0
19	0
1	0
10	0
1	0
32	0
22	0
20	0
1	1
2	0
0	0
103	0
1	0
17	0
49	0
0	0
0	0
9	0
2	0
22	0
13	0
0	0
1	0
2	0
6	0
2	0
0	0
8	0
12	0
7	0
0	0
22	0
6	0
4	0
7	0
11	0
3	0
3	0
3	0
9	0
5	0
3	0
0	0
4	0
0	0
5	0
18	0
0	0
0	0
2	0
36	0
19	0
32	0
29	0
23	0
0	0
0	0
1	0
5	0
0	0
0	0
1	0
6	0
6	0
3	0
1	0
9	0
1	0
1	0
0	0
14	2
60	0
17	0
1	0
0	0
4	0
4	3
1	0
29	0
8	1
9	0
2	0
0	0
3	0
1	0
34	0
0	0
6	0
135	87
1	0
14	0
0	0
9	0
35	0
91	0
34	0
7	0
3	0
0	0
1	0
0	0
6	0
1	0
2	0
22	0
2	0
9	0
0	0
5	0
0	0
30	0
4	0
7	0
2	0
0	0
7	0
5	0
1	0
5	0
10	5
1	0
12	11
8	0
0	0
0	0
12	0
0	0
9	0
18	0
39	1
61	0
3	0
7	0
2	0
1	4
10	0
19	0
88	0
0	0
14	0
211	0
12	9
0	0
0	0
0	0
0	0
56	1
35	0
24	0
25	0
0	0
6	0
0	1
6	0
1	0
11	0
2	0
1	0
4	0
57	0
4	0
0	0
0	0
1	0
7	0
3	0
295	0
262	29
122	1
2	0
9	0
3	0
2	0
9	0
14	0
0	0
102	0
35	0
22	0
15	0
1	0
1	0
12	0
2	0
1	0
6	0
9	0
2	0
4	0
44	0
66	8
6	0
112	2
1	0
0	0
57	3
4	0
42	0
293	0
2	0
7	5
1	0
4	0
4	0
24	0
2	0
0	0
95	24
0	0
6	0
0	0
4	0
0	0
59	0
0	0
0	0
0	0
1	0
0	0
17	0
1	0
21	0
1	0
4	2
3	0
67	0
37	0
14	0
2	0
23	0
0	0
0	0
0	0
14	0
48	0
18	4
0	0
0	0
7	0
0	0
4	0
3	0
19	0
18	0
0	0
6	0
40	0
19	0
38	0
0	0
1	0
17	0
22	0
4	0
28	0
98	0
0	0
1	0
0	0
3	0
22	0
1	0
0	0
9	0
0	0
0	0
0	0
8	0
16	0
249	0
15	0
2	2
6	0
1	0
0	0
2	0
23	0
9	0
0	0
8	0
4	0
1	0
1	0
61	0
62	0
0	0
2	0
2	0
1	0
6	0
12	0
50	0
0	0
1	0
10	0
35	1
4	0
7	0
13	0
6	0
5	0
3	0
5	0
6	0
108	0
3	0
361	0
0	0
1	0
92	0
1	0
16	0
8	0
5	0
6	0
0	0
31	0
41	4
11	0
0	0
41	0
10	0
1	0
6	0
0	0
1	1
7	1
3	0
22	0
10	0
1	0
15	0
1	0
0	0
0	0
3	0
0	0
3	0
4	0
2	0
7	0
15	0
3	0
12	0
15	0
0	0
3	0
11	0
1	0
0	0
3	0
12	0
3	0
1	0
27	0
3	0
5	0
35	0
2	0
3	0
2	0
17	0
14	1
4	0
5	4
4	0
0	0
1	0
18	0
10	0
1	0
51	0
0	0
12	0
38	0
5	0
20	0
31	0
85	0
7	1
18	0
1	0
2	0
3	0
3	0
17	0
0	0
0	0
3	0
7	0
113	1
0	0
1	0
3	0
43	0
5	0
20	0
10	0
1	0
0	0
0	0
0	0
1	0
27	0
13	0
4	0
1	0
8	0
3	0
30	0
1	0
0	0
1	0
0	0
3	0
11	0
4	1
1	0
8	0
3	0
0	0
0	0
9	0
34	0
1	0
17	0
4	0
3	0
0	0
2	0
2	0
12	0
3	0
1	0
1	0
1	0
33	0
3	0
9	0
12	0
2	0
0	0
1	0
10	1
6	1
6	0
33	0
21	0
2	0
3	0
2	0
4	0
3	0
0	0
4	0
4	0
19	0
1	0
5	0
12	0
3	0
0	0
1	0
1	0
1	0
4	0
10	0
118	0
40	0
3	0
16	0
2	0
0	0
19	0
14	0
0	0
6	0
6	0
0	0
2	0
0	0
4	0
24	0
19	0
14	0
4	0
7	0
42	0
9	0
0	0
1	0
15	2
6	2
1	0
170	5
3	0
10	0
33	0
6	0
21	0
1	0
7	0
1	0
1	0
21	0
31	0
10	3
27	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
1	0
0	0
14	0
1	0
0	0
2	0
1	0
6	0
5	0
0	0
6	0
0	0
301	0
25	0
0	0
2	0
7	0
29	0
7	0
1	0
20	0
0	0
6	0
69	1
1	0
2	0
12	0
1	0
52	2
3	0
11	0
1	0
0	0
4	0
0	0
7	0
2	0
19	0
84	0
5	0
2	0
11	0
11	0
2	0
0	0
1	0
24	0
83	0
52	0
2	0
20	0
17	0
4	0
1	0
1	0
1	0
0	0
0	0
6	0
0	0
4	0
1	0
0	0
8	0
10	0
1	0
0	0
5	0
20	0
1	0
56	0
2	0
8	0
1	0
0	0
3	0
0	0
60	0
14	0
3	0
15	0
1	0
0	0
1	0
11	0
10	0
23	7
3	0
3	0
63	0
39	4
20	0
2	0
0	0
15	0
15	0
0	0
0	0
3	0
2	0
115	1
0	0
2	0
45	0
4	0
3	0
6	0
0	0
0	0
54	0
23	0
6	0
4	0
4	0
8	0
0	0
3	0
2	0
174	0
0	0
0	0
2	0
9	0
5	0
166	0
0	0
0	0
0	0
43	0
17	0
2	0
3	0
3	0
2	0
1	0
4	0
29	0
1	0
16	0
5	0
11	0
0	0
1	0
19	0
3	0
3	0
12	0
26	0
2	0
5	0
19	0
13	0
7	0
3	0
0	0
3	0
5	0
5	0
2	0
0	0
1	0
0	0
55	0
87	0
1	1
8	0
6	0
1	0
4	0
123	2
26	0
9	0
9	0
0	0
6	0
1	0
0	0
13	0
2	0
14	0
5	0
3	0
39	0
6	0
26	0
5	0
0	0
0	0
0	0
7	0
10	0
27	0
7	0
63	2
21	0
0	0
15	0
5	0
0	0
1	0
15	0
90	0
0	0
5	0
5	0
717	4
3	0
3	0
30	0
1	0
0	0
15	0
5	0
13	0
30	0
132	0
0	0
5	0
2	0
6	0
8	0
0	0
6	0
50	0
3	0
37	0
3	0
41	0
33	1
77	0
21	0
0	0
0	0
1	0
0	0
0	0
0	0
6	0
12	0
1	0
3	0
0	0
9	0
4	0
1	0
0	0
7	0
1	0
4	0
0	0
12	0
0	0
0	0
3	0
0	0
0	0
25	0
2	0
2	0
1	0
6	0
6	0
5	0
1	0
2	0
4	0
8	0
12	0
9	0
4	0
1	0
5	0
36	3
18	0
15	2
54	0
12	0
7	0
0	0
49	2
1	0
1	0
5	0
1	0
1	0
17	0
7	0
6	0
16	0
131	0
8	0
3	0
1	0
38	0
1	0
28	0
24	0
2	0
5	0
2	0
2	0
2	0
32	0
53	0
2	0
10	0
1	0
1	0
0	0
5	0
3	0
1	0
2	0
15	0
3	0
211	0
0	0
2	0
12	0
4	0
1	0
1	0
0	0
1	0
0	1
1	0
0	0
34	0
4	0
11	0
5	0
0	0
4	0
0	0
4	0
0	1
1	0
2	0
12	0
5	0
19	0
13	0
13	0
35	0
1	0
1	0
7	0
6	0
5	0
2	0
9	0
6	0
0	0
6	0
16	0
38	0
0	0
5	0
6	0
31	0
1	0
0	0
10	0
5	0
1	0
0	0
1	0
5	0
9	0
5	0
5	0
5	3
26	0
1	0
3	0
0	2
2	2
7	0
11	0
7	0
24	0
0	0
21	0
0	0
1	0
1	0
4	0
7	0
2	0
5	0
5	0
2	0
1	0
8	0
7	0
3	0
60	4
5	0
5	0
0	0
2	0
166	1
7	0
7	0
2	8
9	1
10	0
0	0
40	0
4	0
0	0
0	0
19	0
4	1
0	0
7	0
0	0
1	0
2	0
0	0
1654	0
2	1
4	0
3	0
5	0
13	0
8	0
44	0
7	0
5	0
15	0
2	0
27	0
1	0
1	0
2	0
14	0
4	0
1	0
30	0
0	0
64	0
7	0
10	0
7	0
0	1
11	0
18	0
1	0
8	0
0	0
5	0
6	0
35	0
4	0
8	0
11	0
0	0
6	0
31	1
0	0
6	0
5	0
0	0
5	0
6	0
1	0
33	0
29	0
4	0
14	0
16	0
4	0
2	0
4	0
0	0
4	0
1	0
16	2
0	0
1	0
10	0
0	0
1	0
1	0
3	0
2	0
19	0
0	0
8	0
4	0
0	0
2	0
0	0
0	0
4	0
0	0
1	0
13	0
28	0
1	0
4	0
6	0
0	0
6	0
7	0
0	0
2	0
3	0
0	0
2	0
5	0
1	0
12	1
9	1
58	0
8	1
28	0
19	0
5	0
25	0
6	0
409	0
4	1
25	0
1	0
7	0
1	0
2	0
10	0
25	0
6	0
8	0
29	0
8	0
1	0
2	0
0	0
2	0
2	0
7	0
0	0
2	0
0	0
3	0
111	0
13	0
13	0
3	0
58	0
8	0
15	0
4	0
1	0
11	6
3	6
2	0
1	0
0	0
0	0
7	0
0	0
1	0
9	0
14	0
34	0
31	0
0	0
1	0
0	0
20	0
5	0
17	0
9	0
11	0
11	0
9	0
8	0
13	0
15	0
1	0
19	0
3	0
1	0
32	0
14	0
6	0
8	1
18	0
19	0
5	0
9	0
3	0
0	0
2	0
212	1
17	0
24	0
1	0
22	11
2	1
34	0
34	8
0	0
0	0
50	0
1	0
6	0
11	0
2	0
159	5
1	0
30	0
0	0
2	0
7	0
0	0
1	0
22	0
17	0
2	0
0	0
17	0
5	0
2	0
15	0
7	0
9	0
2	0
23	0
2	0
18	0
1	0
0	0
2	0
36	1
0	0
137	0
195	6
4	0
32	0
3	0
2	0
0	0
45	1
0	0
13	0
32	0
19	0
0	0
3	0
22	0
5	0
13	0
26	0
5	0
3	0
3	0
1	0
21	0
9	0
3	0
2	0
3	0
0	0
17	0
199	0
20	0
63	0
1	0
8	0
1	0
4	0
0	0
2	0
464	0
7	0
2	0
215	0
0	0
0	0
50	0
2	0
0	0
14	0
3	0
1	0
8	0
0	0
102	5
63	0
2	0
4	0
2	0
1	0
0	0
14	0
4	0
0	0
504	4
0	0
2	0
3	0
0	0
3	0
0	0
0	0
2	0
20	0
0	0
0	0
12	0
30	0
0	0
0	0
10	0
13	0
2	0
0	0
20	0
0	0
4	0
5	1
7	0
7	0
11	0
10	1
1	0
4	0
24	0
3	0
3	0
2	0
7	0
0	0
3	0
3	0
16	0
0	0
6	0
13	0
20	0
11	0
19	6
2	0
1	0
0	0
6	0
0	0
3	0
4	0
8	0
0	0
7	0
30	0
6	4
13	7
39	0
0	0
0	0
0	0
0	0
4	0
20	0
3	0
5	0
3	0
4	0
19	0
1	0
0	0
0	0
16	0
21	0
15	0
1	0
0	0
48	0
3	0
2	0
3	0
9	0
0	0
10	0
154	0
4	0
28	0
13	0
1	0
1	0
40	0
28	0
17	0
14	0
0	0
3	0
3	0
0	0
24	0
3	0
27	0
1	0
16	0
1	1
4	0
20	12
1	0
0	0
1	0
18	0
3	0
6	0
9	0
14	0
2	0
1	0
34	0
5	0
5	0
8	0
1	0
18	0
5	0
6	0
3	0
1	0
20	0
0	0
31	0
1	0
3	0
12	0
13	0
1	0
4	0
3	0
3	0
8	0
15	0
23	0
19	0
4	0
0	0
2	0
0	0
0	0
0	0
15	2
3	0
0	0
12	0
2	0
6	0
8	0
0	0
1	0
0	0
14	0
0	0
115	0
4	0
1	0
17	0
0	0
56	0
25	1
16	1
16	0
4	0
1	0
7	0
5	0
11	0
2	0
11	0
5	0
0	0
6	0
4	0
15	0
26	1
1	0
0	0
5	0
82	1
0	0
6	0
10	0
1	0
0	0
0	0
2	0
1	0
8	0
3	0
22	0
8	0
0	0
3	0
5	0
3	0
6	0
0	0
50	0
11	0
0	0
5	0
13	0
29	0
0	0
5	0
0	0
1	0
0	0
0	0
0	0
1	0
10	0
0	0
1	0
1	0
3	0
0	0
1	0
10	0
0	0
0	0
5	1
1	0
3	0
4	0
19	0
42	0
4	0
13	0
4	1
0	0
35	0
0	0
0	0
3	0
0	0
40	0
1	0
33	0
0	0
1	0
17	0
4	0
2	0
107	0
4	0
0	0
47	0
7	0
28	0
6	0
0	0
147	0
1	0
0	0
6	0
4	0
9	0
49	8
3	0
0	0
4	0
25	0
7	0
0	0
2	0
23	0
2	0
0	0
8	6
2	0
0	0
46	0
4	0
21	0
2	0
1	0
3	0
0	0
15	0
0	0
39	0
8	0
83	0
2	0
2	0
6	0
38	6
5	0
1	0
3	0
1	0
0	0
0	0
0	0
33	0
6	0
2	0
0	0
119	0
0	0
6	0
14	0
2	0
0	0
1	0
0	0
0	0
2	0
7	0
0	0
8	0
0	0
0	0
41	0
1	0
0	0
10	0
9	0
5	0
18	0
8	0
3	0
4	0
3	0
33	0
2	0
1	0
2	0
4	0
0	0
5	0
3	0
15	0
26	0
0	0
0	0
39	0
13	0
7	0
12	0
3	0
0	0
0	0
0	0
1	0
1	0
2	8
4	0
19	2
2	0
0	0
2	0
0	0
0	0
0	0
4	0
15	0
0	0
6	0
5	0
1	0
0	0
4	0
98	6
2	0
3	0
7	1
7	1
2	0
0	0
35	0
0	0
0	0
2	0
14	0
30	97
0	0
0	0
6	0
19	0
0	0
0	0
8	0
4	0
2	0
3	0
5	0
17	0
4	0
1	0
0	0
3	0
1	0
0	0
9	1
0	0
1	0
1	0
3	0
0	0
7	0
3	0
37	0
7	0
0	0
18	0
12	0
22	0
0	0
25	0
6	0
0	0
3	0
39	0
3	0
1	0
19	0
2	0
0	0
10	0
8	0
7	0
4	0
3	0
27	0
0	0
4	0
4	0
3	0
48	6
1	0
9	0
4	0
4	0
0	0
11	0
0	0
10	0
37	0
44	0
9	0
3	0
6	0
8	1
15	0
1	0
0	0
0	0
63	0
8	0
29	0
0	0
0	0
20	0
3	0
9	0
5	0
23	0
74	0
4	0
9	0
10	0
1	0
4	0
0	0
1	0
0	0
0	0
0	0
1	0
34	0
13	0
30	0
4	0
0	0
5	0
1	0
0	0
2	5
15	0
1	0
1	0
0	0
255	1
4	0
5	0
36	0
2	0
0	0
37	0
14	0
3	0
5	0
19	0
2	0
52	0
0	0
5	0
9	0
0	0
0	0
0	0
0	0
0	0
0	0
7	1
48	0
18	0
3	0
1	0
8	0
3	0
7	0
6	0
22	0
11	1
6	0
9	0
21	0
6	0
1	0
3	0
2	0
3	0
5	0
71	0
3	0
12	0
7	0
7	0
0	1
0	0
0	0
2	0
1	0
5	0
2	0
18	0
25	0
0	0
3	0
8	0
5	0
6	0
2	0
3	0
0	0
0	0
0	0
6	0
6	0
7	2
10	0
19	6
2	0
2	0
3	0
5	0
0	0
1	0
12	0
13	0
1	0
12	0
82	0
9	2
4	0
19	0
0	0
2	0
2	0
4	0
3	0
0	0
17	0
5	0
4	0
2	0
2	0
10	0
0	0
214	2
7	0
1	0
4	0
2	0
23	0
48	1
0	0
1	0
0	0
10	0
1	0
0	0
78	0
0	0
4	0
11	0
0	0
24	0
0	0
30	0
0	0
25	0
1	0
5	0
8	0
0	0
11	2
0	0
20	2
5	0
47	0
18	3
2	0
2	0
2	0
0	0
6	0
3	0
0	0
21	0
8	0
5	0
31	0
6	0
1	0
1	0
3	0
22	0
3	0
1	0
0	0
32	0
1	0
17	0
17	0
2	0
13	0
2	0
0	0
1	0
0	0
5	0
1	0
2	0
1	0
13	0
4	0
37	0
3	0
29	0
4	0
3	0
4	0
1	0
1	0
4	0
0	0
0	0
0	0
0	0
3	0
1	0
10	0
3	0
4	0
0	0
0	0
2	0
5	0
4	0
23	0
7	0
5	0
84	0
121	20
0	0
1	0
159	2
82	2
4	0
17	0
10	0
26	0
42	0
1	0
0	0
4	0
4	0
1	0
4	0
0	0
8	0
2	0
0	0
0	0
9	0
0	0
10	0
33	1
4	0
2	0
2	0
14	8
1	0
0	0
6	0
2	0
0	0
1	0
23	0
2	0
2	0
14	0
1	0
58	0
1	0
8	0
9	1
3	0
14	0
12	0
29	0
2	0
1	0
3	0
6	0
1	0
2	0
5	0
2	0
